year,month,day,pto pizzaro_c,pto pizzaro_e,acapulco_c,acapulco_e,cancas_c,cancas_e,la cruz_c,la cruz_e,zorritos_c,zorritos_e,mancora_c,mancora_e,cabo blanco_c,cabo blanco_e,talara_c,talara_e,paita_c,paita_e,yacila_c,yacila_e,parachique_c,parachique_e,pto rico_c,pto rico_e,san jose_c,san jose_e,santa rosa_c,santa rosa_e,eten_c,eten_e,pacasmayo_c,pacasmayo_e,salaverry_c,salaverry_e,morin_c,morin_e,chimbote_c,chimbote_e,los chimus_c,los chimus_e,carquin_c,carquin_e,huacho_c,huacho_e,chancay_c,chancay_e,ancon_c,ancon_e,pucusana_c,pucusana_e,san andres_c,san andres_e,marcona_c,marcona_e,lomas_c,lomas_e,atico_c,atico_e,la planchada_c,la planchada_e,quilca_c,quilca_e,matarani_c,matarani_e,ilo_c,ilo_e,morro sama_c,morro sama_e
2016,jan,31,,,,,,,,,,,150,1,,,,,744,1,,,,,,,,,,,,,,,300,1,,,,,2580,,,,900,1,,,5900,3,15417,9,,,,,,,,,,,,,1250,3,3300,3,,
2016,feb,1,,,,,115,,,,121,,,,,,,,17265,,370,,,,,,500,,,,,,,,,,,,,,7520,,,,3050,,5200,,,,22326,,,,10900,,4930,,1600,,7640,,42900,,18750,,54900,,9800,
2016,feb,2,,,,,,,,,138,,,,,,700,,1210,,2680,,,,,,160,,,,20,,21,,,,,,8000,,,,,,2600,,6,,3000,,13112,,,,,,19715,,4600,,11770,,,,12725,,30300,,5500,
2016,feb,3,,,56,,,,,,221,,,,,,,,16300,,916,,,,,,,,,,,,,,,,,,1000,,,,,,800,,,,1700,,26098,,,,4000,,5330,,3800,,1830,,21535,,1255,,29650,,4300,
2016,feb,4,,,336,,,,,,128,,,,,,,,28980,,1504,,,,,,,,,,,,,,4300,,,,,,,,,,700,,,,,,28183,,,,3000,,3970,,3395,,7130,,5455,,4890,,42730,,2300,
2016,feb,5,,,,,,,,,371,,,,,,200,,14920,,,,,,,,,,,,,,,,800,,,,3000,,,,,,,,,,1100,,18221,,,,,,9405,,2900,,2340,,14130,,6200,,26830,,2600,
2016,feb,6,,,72,,,,,,99,,,,,,,,190,,,,,,,,,,,,225,,,,500,,,,,,,,,,,,,,,,4820,,,,,,745,,4500,,1890,,8485,,6200,,10570,,1600,
2016,feb,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10450,,,
2016,feb,8,,,,,,,,,,,,,,,,,25230,,3500,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,27206,,,,2480,,7295,,11500,,7310,,1605,,10720,,26650,,4850,
2016,feb,9,,,,,,,,,,,,,,,14,,22900,,1170,,,,,,,,,,,,,,,,,,,,,,,,350,,,,1800,,22117,,2000,,,,785,,7305,,,,,,5580,,19850,,3200,
2016,feb,10,,,,,,,,,,,,,,,,,5550,,780,,,,,,,,,,,,,,41,,,,,,980,,,,300,,,,300,,18555,,1500,,,,5590,,500,,7060,,5080,,8145,,23380,,5100,
2016,feb,11,,,,,,,,,,,,,8,,,,2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,,1000,,1800,,2160,,,,1688,,2060,,11215,,24400,,2000,
2016,feb,12,,,16,,,,,,194,,,,,,,,2000,,300,,,,,,,,,,15,,10,,812,,3,,,,3110,,,,400,,,,3500,,24874,,1730,,,,6323,,150,,280,,4105,,3800,,35650,,1000,
2016,feb,13,,,,,,,,,91,,,,,,,,840,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,32335,,,,,,,,500,,760,,4030,,4755,,20900,,7000,
